Order_ID,Customer_ID,Warehouse_ID,Delivery_Partner_ID,Order_Date,Order_Dispatched_Date,Promised_Delivery_Date,Actual_Delivery_Date,Distance_KM,Order_Value,Freight_Cost,Packaging_Cost,Warehouse_Handling_Cost,Delivery_Partner_Cost,Order_Status
ORD00047,CUST1728,WH025,DP047,2025-04-21,2025-04-21,2025-04-22,2025-04-22,19.9,648.74,233.75,48.12,30.03,148.04,Delivered
ORD00048,CUST1813,WH047,DP063,2024-08-25,2024-08-27,2024-08-29,2024-08-30,20.3,2203.09,150.28,40.29,83.37,107.04,Delivered
ORD00049,CUST1277,WH028,DP024,2025-04-24,2025-04-25,2025-04-26,2025-04-27,5.9,1188.23,88.69,31.54,47.57,61.78,Delivered
ORD00050,CUST1735,WH032,DP094,2024-07-12,2024-07-14,2024-07-16,2024-07-16,21.7,961.24,188.08,22.18,52.61,147.51,Delivered
ORD00051,CUST0755,WH046,DP015,2025-08-03,2025-08-05,2025-08-07,2025-08-07,56.2,1154.67,338.5,36.95,82.51,367.75,Delivered
ORD00052,CUST0161,WH034,DP067,2024-05-22,,2024-05-26,,5.4,1877.04,74.76,50.27,25.75,67.22,Cancelled
ORD00053,CUST0640,WH038,DP079,2025-04-16,2025-04-17,2025-04-19,2025-04-19,11.1,1647.79,133.71,14.27,42.33,89.12,Delivered
ORD00054,CUST0723,WH027,DP038,2025-12-04,2025-12-05,2025-12-06,2025-12-07,8.5,1681.39,116.72,24.44,22.3,85.98,Delivered
ORD00055,CUST1185,WH031,DP022,2025-09-13,2025-09-14,2025-09-15,2025-09-16,5.6,827.05,71.17,36.63,62.66,68.32,Delivered
ORD00056,CUST1744,WH005,DP036,2025-11-14,2025-11-16,2025-11-18,2025-11-19,18.6,2891.75,153.6,22.84,60.03,109.92,Delivered
ORD00057,CUST1350,WH010,DP058,2025-03-25,2025-03-26,2025-03-27,2025-03-27,24.2,1128.05,250.69,27.9,31.4,130.46,Delivered
ORD00058,CUST1982,WH006,DP019,2025-05-23,2025-05-24,2025-05-26,2025-05-26,5.5,2345.15,85.53,37.61,73.41,68.06,Delivered
ORD00059,CUST1306,WH047,DP022,2025-08-13,2025-08-14,2025-08-15,2025-08-15,15.0,1263.28,135.88,21.07,67.73,118.54,Delivered
ORD00060,CUST0976,WH026,DP039,2025-01-08,2025-01-09,2025-01-10,2025-01-10,29.9,1101.05,322.41,32.48,81.64,152.65,Delivered
ORD00061,CUST1783,WH034,DP056,2025-05-27,,2025-05-29,,14.3,1208.22,138.59,12.51,80.27,116.71,Cancelled
ORD00062,CUST1306,WH035,DP046,2024-10-01,2024-10-02,2024-10-03,2024-10-03,13.7,684.88,166.39,53.12,48.07,123.14,Delivered
ORD00063,CUST1197,WH042,DP051,2024-12-05,2024-12-06,2024-12-08,2024-12-09,2.2,1334.77,48.66,31.83,63.89,47.51,Delivered
ORD00064,CUST0642,WH012,DP071,2024-01-23,2024-01-25,2024-01-26,2024-01-26,5.8,912.19,65.97,12.45,20.55,61.94,Delivered
ORD00065,CUST0581,WH047,DP033,2025-07-15,2025-07-17,2025-07-19,2025-07-20,17.7,545.13,131.64,20.3,21.54,154.55,Delivered
ORD00066,CUST1451,WH008,DP016,2024-02-07,2024-02-09,2024-02-11,2024-02-10,48.1,3022.61,365.92,15.71,59.3,326.27,Delivered
ORD00067,CUST0378,WH045,DP033,2025-06-14,2025-06-16,2025-06-18,,12.3,1398.48,101.16,24.67,62.93,94.21,Failed/Returned
ORD00068,CUST1577,WH043,DP099,2025-08-03,2025-08-04,2025-08-05,2025-08-05,8.6,437.89,81.18,25.91,30.53,87.53,Delivered
ORD00069,CUST0365,WH017,DP057,2024-01-19,2024-01-20,2024-01-22,2024-01-24,6.5,2734.53,74.02,14.98,83.66,64.71,Delivered
ORD00070,CUST0448,WH028,DP079,2024-04-23,2024-04-24,2024-04-25,2024-04-27,15.2,451.82,165.37,39.66,79.32,86.88,Delivered
ORD00071,CUST0039,WH029,DP064,2025-04-27,2025-04-29,2025-04-30,2025-05-01,15.8,2719.61,187.7,18.4,61.62,124.4,Delivered
ORD00072,CUST1056,WH001,DP091,2024-11-02,2024-11-04,2024-11-06,2024-11-06,6.7,542.42,83.11,52.42,51.89,77.72,Delivered
ORD00073,CUST0788,WH001,DP089,2024-01-11,2024-01-13,2024-01-14,2024-01-13,10.1,3070.52,114.15,47.17,51.33,103.08,Delivered
ORD00074,CUST1964,WH041,DP083,2024-12-24,2024-12-26,2024-12-28,2024-12-28,3.9,1035.03,73.24,15.9,54.75,47.96,Delivered
ORD00075,CUST1136,WH012,DP006,2024-10-17,2024-10-19,2024-10-20,2024-10-19,31.6,2270.59,240.22,53.6,62.95,179.11,Delivered
ORD00076,CUST0897,WH041,DP095,2024-09-30,2024-10-01,2024-10-03,2024-10-04,12.7,3989.41,100.11,20.15,22.32,,Delivered
ORD00077,CUST1024,WH020,DP069,2025-04-25,2025-04-26,2025-04-28,2025-04-27,10.4,1133.98,137.26,53.49,72.77,66.88,Delivered
ORD00078,CUST0243,WH026,DP028,2025-11-17,2025-11-18,2025-11-20,2025-11-20,1.9,2217.86,48.85,46.71,63.38,45.85,Delivered
ORD00079,CUST0076,WH005,DP095,2024-11-30,2024-12-02,2024-12-03,2024-12-02,19.3,1140.29,176.97,18.09,62.5,163.77,Delivered
ORD00080,CUST1296,WH012,DP007,2025-12-02,2025-12-02,2025-12-03,2025-12-02,8.3,1229.27,80.54,50.9,73.35,80.19,Delivered
ORD00081,CUST1219,WH032,DP079,2025-09-08,2025-09-10,2025-09-11,,7.4,901.88,87.77,21.48,72.29,81.22,Failed/Returned
ORD00082,CUST1999,WH008,DP088,2025-04-04,2025-04-05,2025-04-06,2025-04-05,15.6,1509.79,178.24,36.77,28.93,131.29,Delivered
ORD00083,CUST0561,WH008,DP019,2024-07-24,2024-07-25,2024-07-26,2024-07-25,,742.06,156.24,44.57,30.92,99.78,Delivered
ORD00084,CUST1255,WH041,DP049,2025-12-24,2025-12-25,2025-12-27,2025-12-28,2.2,560.42,51.36,45.44,21.02,41.66,Delivered
ORD00085,CUST0853,WH019,DP089,2024-09-05,2024-09-06,2024-09-07,2024-09-07,31.8,861.15,304.08,46.72,70.22,156.62,Delivered
ORD00086,CUST1251,WH012,DP089,2024-03-15,2024-03-17,2024-03-18,2024-03-18,12.2,1829.89,126.49,13.62,31.7,117.97,Delivered
ORD00087,CUST1143,WH001,DP031,2024-08-21,2024-08-23,2024-08-25,2024-08-25,10.1,1754.06,134.83,20.25,84.13,90.3,Delivered
ORD00088,CUST1578,WH030,DP081,2025-10-22,2025-10-24,2025-10-25,2025-10-25,9.9,782.74,94.09,40.35,37.97,96.25,Delivered
ORD00089,CUST0328,WH012,DP086,2025-11-25,2025-11-27,2025-11-28,2025-11-28,38.3,1970.17,296.24,51.67,23.51,182.01,Delivered
ORD00090,CUST1517,WH007,DP007,2024-08-01,2024-08-03,2024-08-05,2024-08-05,26.3,567.84,269.79,51.77,31.43,164.93,Delivered
ORD00091,CUST1188,WH038,DP042,2025-07-31,2025-08-01,2025-08-02,2025-08-03,6.9,1091.33,100.49,30.02,68.56,62.05,Delivered
ORD00092,CUST1782,WH027,DP026,2024-11-18,2024-11-19,2024-11-21,2024-11-21,9.6,1706.32,105.61,28.15,34.34,82.4,Delivered
ORD00093,CUST0794,WH012,DP048,2024-04-14,2024-04-15,2024-04-17,2024-04-18,18.4,2314.23,185.15,17.87,66.79,162.0,Delivered
ORD00094,CUST0575,WH004,DP018,2024-03-02,2024-03-03,2024-03-04,2024-03-06,8.7,1226.72,96.69,16.78,50.26,87.56,Delivered
ORD00095,CUST1952,WH041,DP079,2025-05-30,2025-05-31,2025-06-01,2025-06-02,25.5,843.4,232.98,50.94,57.58,134.93,Delivered
ORD00096,CUST1715,WH031,DP060,2025-12-21,2025-12-22,2025-12-24,2025-12-24,7.1,2317.08,96.63,24.0,67.45,63.3,Delivered
ORD00097,CUST1840,WH037,DP001,2025-07-21,2025-07-22,2025-07-23,2025-07-24,32.1,928.64,354.6,29.96,22.87,225.48,Delivered
ORD00098,CUST1683,WH045,DP013,2024-12-08,2024-12-10,2024-12-11,2024-12-11,12.1,2206.42,129.29,31.45,35.63,71.9,delivered
ORD00099,CUST0490,WH019,DP083,2025-03-01,2025-03-02,2025-03-04,2025-03-03,20.3,495.18,204.41,54.95,21.04,109.04,Delivered
ORD00100,CUST0950,WH030,DP099,2025-09-26,2025-09-28,2025-09-29,2025-10-01,6.1,1139.46,71.14,17.96,65.7,74.57,Delivered
ORD00101,CUST0145,WH041,DP050,2025-12-25,2025-12-27,2025-12-29,2025-12-30,23.1,1422.96,154.28,50.42,41.64,143.65,Delivered
ORD00102,CUST1614,WH014,DP088,2025-01-16,,2025-01-18,,12.6,864.74,144.35,15.48,77.26,75.56,Cancelled
ORD00103,CUST0749,WH025,DP060,2025-04-02,2025-04-04,2025-04-05,2025-04-06,37.3,1031.72,254.19,38.62,43.76,230.27,Delivered
ORD00104,CUST0489,WH022,DP070,2025-03-28,,2025-03-30,,23.0,1005.51,258.0,16.88,51.1,157.37,Cancelled
ORD00105,CUST0723,WH021,DP035,2024-09-14,2024-09-15,2024-09-16,2024-09-16,3.6,382.99,53.98,33.65,47.49,51.17,Delivered
ORD00106,CUST1090,WH046,DP087,2025-08-17,2025-08-19,2025-08-20,2025-08-20,15.6,1649.26,148.25,47.49,78.46,104.77,Delivered
ORD00107,CUST0179,WH030,DP011,2024-11-01,2024-11-02,2024-11-03,2024-11-04,30.5,1053.12,333.63,28.8,31.62,135.89,Delivered
ORD00108,CUST1792,WH010,DP027,2025-08-14,2025-08-15,2025-08-16,2025-08-16,9.8,1290.15,98.37,34.39,60.77,102.41,Delivered
ORD00109,CUST1511,WH029,DP083,2024-10-04,2024-10-05,2024-10-06,2024-10-06,4.8,1276.15,59.53,12.92,32.29,64.8,Delivered
ORD00110,CUST0703,WH038,DP084,2024-12-08,2024-12-09,2024-12-10,2024-12-11,14.8,1033.03,152.91,39.78,41.21,120.65,Delivered
ORD00111,CUST1840,WH009,DP040,2025-09-23,2025-09-23,2025-09-24,2025-09-24,11.6,2524.83,121.09,19.38,36.9,114.84,Delivered
ORD00112,CUST1959,WH030,DP022,2025-11-20,2025-11-22,2025-11-24,2025-11-26,15.1,923.19,150.92,38.6,30.45,91.31,Delivered
ORD00113,CUST0331,WH010,DP031,2024-04-03,2024-04-04,2024-04-06,2024-04-05,3.6,1472.21,63.34,17.03,84.6,52.15,Delivered
ORD00114,CUST0650,WH043,DP045,2025-03-27,2025-03-27,2025-03-28,2025-03-30,,927.85,96.24,18.36,49.15,66.83,Delivered
ORD00115,CUST1942,WH010,DP059,2025-01-14,2025-01-16,2025-01-17,2025-01-17,13.2,2573.94,165.03,51.9,30.14,103.44,Delivered
ORD00116,CUST1986,WH019,DP097,2025-02-06,2025-02-07,2025-02-09,2025-02-08,23.7,1201.53,170.93,54.17,57.29,159.68,Delivered
ORD00117,CUST0981,WH047,DP006,2024-04-07,2024-04-08,2024-04-09,2024-04-10,30.7,1777.22,235.79,18.0,55.81,176.42,Delivered
ORD00118,CUST1246,WH004,DP083,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2.3,2426.94,55.48,20.39,54.22,48.96,Delivered
ORD00119,CUST1962,WH043,DP012,2025-10-21,2025-10-21,2025-10-23,2025-10-23,,332.3,139.33,53.96,45.64,110.78,Delivered
ORD00120,CUST0303,WH026,DP092,2024-10-16,2024-10-18,2024-10-20,2024-10-19,23.1,1315.39,193.56,48.71,44.03,130.6,Delivered
ORD00121,CUST1491,WH014,DP057,2024-04-16,2024-04-18,2024-04-20,2024-04-20,12.0,1699.39,121.55,43.89,47.01,78.86,Delivered
ORD00122,CUST1712,WH009,DP076,2024-12-01,2024-12-02,2024-12-04,2024-12-06,12.1,1368.84,113.85,37.71,29.34,119.14,Delivered
ORD00123,CUST0182,WH025,DP001,2025-04-07,2025-04-09,2025-04-10,2025-04-10,11.1,1052.14,113.51,29.61,79.44,92.98,Delivered
ORD00124,CUST1705,WH012,DP049,2024-04-03,2024-04-04,2024-04-06,2024-04-06,4.7,1434.0,77.84,24.45,51.89,54.78,Delivered
ORD00125,CUST0055,WH015,DP001,2025-10-16,2025-10-18,2025-10-19,2025-10-19,41.1,919.98,372.13,18.62,39.51,262.95,Delivered
ORD00126,CUST1008,WH012,DP089,2024-05-20,2024-05-21,2024-05-22,,6.2,806.36,89.71,39.73,21.85,65.83,Failed/Returned
ORD00127,CUST0985,WH038,DP073,2024-03-28,2024-03-29,2024-03-31,2024-04-01,3.3,986.99,62.82,30.75,36.76,57.76,Delivered
ORD00128,CUST1732,WH002,DP034,2025-01-02,2025-01-03,2025-01-04,2025-01-04,11.3,1122.34,109.56,19.0,23.8,108.6,Delivered
ORD00129,CUST1304,WH027,DP046,2025-04-03,2025-04-05,2025-04-06,2025-04-07,21.4,779.61,210.37,14.09,38.96,105.78,Delivered
ORD00130,CUST0343,WH049,DP070,2024-05-14,2024-05-16,2024-05-17,2024-05-16,7.9,558.12,107.88,25.87,40.55,83.98,Delivered
ORD00131,CUST1188,WH035,DP046,2025-03-27,2025-03-28,2025-03-29,2025-03-28,7.4,328.43,91.17,47.4,20.84,68.24,Delivered
ORD00132,CUST0317,WH014,DP065,2024-01-27,2024-01-28,2024-01-30,2024-01-31,21.4,636.91,237.99,21.51,32.25,151.71,Delivered
ORD00133,CUST1439,WH036,DP097,2025-01-08,2025-01-08,2025-01-09,2025-01-09,5.4,1145.64,86.73,46.51,47.13,53.72,Delivered
ORD00134,CUST0743,WH045,DP018,2025-01-23,2025-01-25,2025-01-26,2025-01-27,6.3,666.81,85.33,47.13,77.83,73.14,Delivered
ORD00135,CUST0456,WH008,DP017,2024-01-15,2024-01-15,2024-01-17,2024-01-19,4.9,765.17,65.05,48.84,29.25,52.16,Delivered
ORD00136,CUST0160,WH008,DP003,2024-03-28,2024-03-29,2024-03-30,2024-03-30,14.2,1809.51,109.02,45.31,69.23,83.72,Delivered
ORD00137,CUST1861,WH008,DP033,2025-07-29,2025-07-31,2025-08-02,2025-08-02,5.9,1094.65,64.8,13.86,39.61,54.98,Delivered
ORD00138,CUST1374,WH012,DP045,2025-03-04,2025-03-05,2025-03-07,2025-03-09,8.6,2617.88,110.09,13.26,29.46,70.34,Delivered
ORD00139,CUST1256,WH047,DP031,2024-07-25,2024-07-27,2024-07-28,2024-07-28,29.2,533.62,300.66,33.71,24.44,211.75,Delivered
ORD00140,CUST1101,WH049,DP001,2024-09-16,2024-09-17,2024-09-19,2024-09-19,12.4,1176.21,110.27,53.86,26.41,97.21,Delivered
ORD00141,CUST1380,WH029,DP014,2024-03-14,2024-03-15,2024-03-16,2024-03-15,8.5,777.2,93.63,19.78,43.06,67.79,Delivered
ORD00142,CUST0226,WH030,DP067,2024-05-15,2024-05-16,2024-05-17,2024-05-17,6.2,812.53,87.85,17.84,69.55,67.42,Delivered
ORD00143,CUST0936,WH019,DP077,2024-02-28,2024-03-01,2024-03-02,2024-03-02,19.3,1359.18,212.67,43.66,64.66,110.34,Delivered
ORD00144,CUST1833,WH005,DP061,2025-09-23,2025-09-24,2025-09-26,2025-09-27,11.4,736.42,92.73,52.38,43.88,99.94,Delivered
ORD00145,CUST0175,WH044,DP016,2025-05-03,,2025-05-06,,8.0,3373.91,98.62,18.16,46.04,62.26,Cancelled
ORD00146,CUST0694,WH013,DP026,2024-07-23,2024-07-24,2024-07-26,2024-07-29,32.9,803.92,219.69,37.58,84.39,244.0,Delivered
ORD00147,CUST1216,WH038,DP035,2024-11-06,2024-11-08,2024-11-09,2024-11-10,5.2,852.15,85.52,44.52,72.06,58.01,Delivered
ORD00148,CUST0302,WH018,DP099,2025-03-21,,2025-03-23,,9.6,586.09,106.49,31.55,27.94,72.66,Cancelled
ORD00149,CUST1021,WH005,DP087,2024-12-17,2024-12-19,2024-12-20,2024-12-21,14.7,1010.6,152.94,13.15,31.64,98.33,Delivered
ORD00150,CUST1065,WH049,DP099,2024-04-08,2024-04-09,2024-04-11,2024-04-12,8.9,787.54,92.56,33.16,50.29,79.43,Delivered
ORD00151,CUST1951,WH002,DP098,2025-05-12,2025-05-13,2025-05-14,2025-05-13,20.2,736.69,228.41,13.36,47.98,126.6,Delivered
ORD00152,CUST0363,WH003,DP072,2024-10-27,2024-10-28,2024-10-30,2024-10-30,49.1,1203.94,497.69,40.35,70.66,214.54,Delivered
ORD00153,CUST0225,WH049,DP073,2024-05-12,2024-05-14,2024-05-16,2024-05-15,12.9,1434.29,143.71,41.03,62.91,103.23,Delivered
ORD00154,CUST0540,WH026,DP064,2025-09-06,2025-09-06,2025-09-08,2025-09-07,32.3,790.78,305.75,37.41,44.56,230.93,Delivered
ORD00155,CUST1715,WH009,DP047,2024-04-29,2024-04-30,2024-05-01,2024-05-01,18.1,1478.7,127.93,27.0,68.23,153.83,Delivered
ORD00156,CUST0720,WH027,DP008,2025-01-16,,2025-01-18,,23.8,945.19,231.12,40.43,36.09,162.81,Cancelled
ORD00157,CUST0348,WH022,DP003,2025-08-19,2025-08-20,2025-08-21,2025-08-22,22.6,755.95,222.33,35.15,22.43,140.99,Delivered
ORD00158,CUST1205,WH031,DP003,2024-08-07,2024-08-08,2024-08-10,2024-08-10,1.1,459.83,42.65,54.39,44.55,40.82,Delivered
ORD00159,CUST1018,WH022,DP065,2025-10-18,2025-10-19,2025-10-21,,12.3,1791.53,106.75,46.89,63.38,86.64,Failed/Returned
ORD00160,CUST1722,WH005,DP069,2025-03-31,2025-04-02,2025-04-03,2025-04-04,13.0,1200.94,119.33,21.21,37.24,103.82,Delivered
ORD00161,CUST0195,WH038,DP076,2024-09-01,2024-09-03,2024-09-05,2024-09-07,17.9,1451.22,196.21,26.48,24.37,122.73,Delivered
ORD00162,CUST1034,WH020,DP039,2025-01-24,2025-01-25,2025-01-27,2025-01-27,26.9,838.77,196.41,30.62,55.1,158.99,Delivered
ORD00163,CUST1286,WH002,DP091,2024-08-15,2024-08-17,2024-08-18,2024-08-19,16.1,2515.87,155.69,34.2,32.13,125.86,Delivered
ORD00164,CUST1657,WH035,DP079,2025-10-02,2025-10-03,2025-10-04,2025-10-04,16.1,2225.72,190.74,48.67,78.94,130.09,Delivered
ORD00165,CUST0309,WH016,DP096,2024-04-19,2024-04-19,2024-04-20,2024-04-22,8.6,1863.32,96.72,41.47,39.52,71.76,Delivered
ORD00166,CUST0547,WH027,DP037,2025-04-13,2025-04-14,2025-04-15,2025-04-17,23.0,446.88,219.14,39.78,36.67,141.34,Delivered
ORD00167,CUST0951,WH020,DP063,2024-09-09,2024-09-10,2024-09-11,2024-09-13,14.8,1204.51,156.87,36.07,48.35,81.59,Delivered
ORD00168,CUST1349,WH018,DP071,2024-10-19,2024-10-21,2024-10-22,2024-10-22,21.2,1211.11,243.16,19.57,75.41,139.8,Delivered
ORD00169,CUST0611,WH039,DP009,2025-03-22,2025-03-24,2025-03-27,2025-03-30,54.0,2922.49,403.13,50.72,46.46,339.01,Delivered
ORD00170,CUST0484,WH009,DP015,2025-11-04,2025-11-06,2025-11-08,2025-11-08,18.2,1258.45,136.98,36.55,52.52,137.96,Delivered
ORD00171,CUST1812,WH032,DP012,2025-03-18,2025-03-19,2025-03-21,2025-03-22,4.6,1213.34,76.55,22.24,27.95,54.86,Delivered
ORD00172,CUST1916,WH016,DP055,2025-11-06,2025-11-08,2025-11-09,2025-11-09,13.0,4430.55,113.92,21.37,26.94,88.28,Delivered
ORD00173,CUST0768,WH035,DP090,2024-10-18,,2024-10-21,,17.4,1976.43,158.87,52.79,40.57,134.72,Cancelled
ORD00174,CUST1466,WH031,DP048,2024-01-03,2024-01-05,2024-01-06,2024-01-07,7.7,1752.39,110.72,47.32,21.37,76.76,Delivered
ORD00175,CUST0491,WH043,DP033,2025-11-02,2025-11-03,2025-11-04,2025-11-06,1.0,2205.19,44.79,35.77,40.1,39.45,Delivered
ORD00176,CUST0796,WH029,DP002,2024-11-26,2024-11-28,2024-11-29,2024-11-29,6.2,590.53,96.32,51.12,45.54,59.94,Delivered
ORD00177,CUST1761,WH014,DP021,2024-05-08,2024-05-08,2024-05-09,2024-05-11,10.9,1706.91,137.43,51.38,61.04,101.13,Delivered
ORD00178,CUST1927,WH050,DP063,2024-09-21,2024-09-23,2024-09-24,2024-09-25,10.8,626.75,134.42,32.26,46.84,98.39,Delivered
